2025-11-04 03:09:24,975 | INFO | GET /products completed in 1.414s with status 200
2025-11-04 03:09:24,983 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:09:24,984 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:09:26,287 | INFO | GET /products completed in 1.305s with status 200
2025-11-04 03:09:26,293 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:09:26,294 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:09:28,016 | INFO | GET /products completed in 1.724s with status 200
2025-11-04 03:09:28,022 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:09:28,023 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:09:29,477 | INFO | GET /products completed in 1.456s with status 200
2025-11-04 03:09:29,483 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:09:29,483 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:09:30,567 | INFO | GET /products completed in 1.084s with status 200
2025-11-04 03:09:30,571 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:09:30,571 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:09:32,448 | INFO | GET /products completed in 1.879s with status 200
2025-11-04 03:12:10,914 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:12:10,916 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:12:12,614 | INFO | GET /products completed in 1.701s with status 200
2025-11-04 03:12:12,624 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:12:12,625 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:12:14,185 | INFO | GET /products completed in 1.561s with status 200
2025-11-04 03:12:14,191 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:12:14,193 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:12:15,633 | INFO | GET /products completed in 1.443s with status 200
2025-11-04 03:12:15,637 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:12:15,638 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:12:16,969 | INFO | GET /products completed in 1.332s with status 200
2025-11-04 03:12:16,974 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:12:16,975 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:12:18,245 | INFO | GET /products completed in 1.272s with status 200
2025-11-04 03:12:18,252 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:12:18,253 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:12:19,361 | INFO | GET /products completed in 1.11s with status 200
2025-11-04 03:12:19,365 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:12:19,366 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:12:20,678 | INFO | GET /products completed in 1.314s with status 200
2025-11-04 03:12:20,685 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:12:20,686 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:12:21,814 | INFO | GET /products completed in 1.13s with status 200
2025-11-04 03:15:10,310 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:15:10,311 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:15:10,321 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:15:10,322 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:15:12,135 | INFO | GET /products completed in 1.826s with status 200
2025-11-04 03:15:12,143 | WARNING | GET /recommend/user123 completed in 1.833s with status 500
2025-11-04 03:15:12,148 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:15:12,152 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:15:12,152 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:15:12,153 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:15:13,548 | INFO | GET /products completed in 1.403s with status 200
2025-11-04 03:15:13,553 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:15:13,554 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:15:13,729 | WARNING | GET /recommend/user123 completed in 1.582s with status 500
2025-11-04 03:15:13,735 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:15:13,736 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:15:14,928 | INFO | GET /products completed in 1.377s with status 200
2025-11-04 03:15:14,935 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:15:14,936 | INFO | Connecting to GLOBAL Snowflake domain
2025-11-04 03:15:14,998 | WARNING | GET /recommend/user123 completed in 1.267s with status 500
2025-11-04 03:15:15,006 | INFO | Snowflake Connector for Python Version: 4.0.0, Python Version: 3.12.7, Platform: Windows-11-10.0.26200-SP0
2025-11-04 03:15:15,006 | INFO | Connecting to GLOBAL Snowflake domain
